date,duration_min,distance_km,pace_min_km,avg_hr_bpm,elevation_m,power_w,cadence_spm,rpe
2026-01-05,52.5,10,5.25,145,65,245,171,4
2026-01-19,50.8,10,5.08,146,61,250,172,4
2026-02-03,62.0,12,5.17,148,90,252,171,5
2026-02-20,48.7,10,4.87,150,58,260,174,5
2026-03-10,72.0,14,5.14,149,110,258,172,5
2026-03-27,47.8,10,4.78,151,55,267,175,6
2026-04-14,60.0,12,5.00,147,80,263,173,5
2026-05-01,46.8,10,4.68,151,54,274,176,6
2026-05-18,68.0,14,4.86,150,105,270,174,5
2026-06-05,45.9,10,4.59,152,50,280,177,6
2026-06-23,57.0,12,4.75,149,75,278,175,5
2026-07-10,44.8,10,4.48,152,52,287,178,6
2026-07-29,64.5,14,4.61,151,100,284,176,6
2026-08-15,43.9,10,4.39,153,48,293,179,7
